A1,B1,A2,B2,covariance
Mbuti,Mbuti,Mbuti,Mbuti,6.110
Mbuti,Mbuti,Mbuti,Karitiana,4.582
Mbuti,Mbuti,Mbuti,ANE,4.564
Mbuti,Mbuti,Mbuti,Dai,4.474
Mbuti,Mbuti,Mbuti,Onge,4.591
Mbuti,Mbuti,Karitiana,Karitiana,3.236
Mbuti,Mbuti,Karitiana,ANE,3.209
Mbuti,Mbuti,Karitiana,Dai,3.133
Mbuti,Mbuti,Karitiana,Onge,3.221
Mbuti,Mbuti,ANE,ANE,2.849
Mbuti,Mbuti,ANE,Dai,3.068
Mbuti,Mbuti,ANE,Onge,3.093
Mbuti,Mbuti,Dai,Dai,3.163
Mbuti,Mbuti,Dai,Onge,3.293
Mbuti,Mbuti,Onge,Onge,3.460
Mbuti,Karitiana,Mbuti,Karitiana,5.273
Mbuti,Karitiana,Mbuti,ANE,4.615
Mbuti,Karitiana,Mbuti,Dai,4.571
Mbuti,Karitiana,Mbuti,Onge,4.610
Mbuti,Karitiana,Karitiana,Karitiana,5.604
Mbuti,Karitiana,Karitiana,ANE,5.186
Mbuti,Karitiana,Karitiana,Dai,5.049
Mbuti,Karitiana,Karitiana,Onge,5.033
Mbuti,Karitiana,ANE,ANE,4.113
Mbuti,Karitiana,ANE,Dai,4.397
Mbuti,Karitiana,ANE,Onge,4.332
Mbuti,Karitiana,Dai,Dai,4.463
Mbuti,Karitiana,Dai,Onge,4.489
Mbuti,Karitiana,Onge,Onge,4.449
Mbuti,ANE,Mbuti,ANE,6.123
Mbuti,ANE,Mbuti,Dai,4.374
Mbuti,ANE,Mbuti,Onge,4.440
Mbuti,ANE,Karitiana,Karitiana,4.292
Mbuti,ANE,Karitiana,ANE,5.999
Mbuti,ANE,Karitiana,Dai,4.216
Mbuti,ANE,Karitiana,Onge,4.332
Mbuti,ANE,ANE,ANE,6.928
Mbuti,ANE,ANE,Dai,5.584
Mbuti,ANE,ANE,Onge,5.702
Mbuti,ANE,Dai,Dai,4.091
Mbuti,ANE,Dai,Onge,4.151
Mbuti,ANE,Onge,Onge,4.190
Mbuti,Dai,Mbuti,Dai,4.808
Mbuti,Dai,Mbuti,Onge,4.580
Mbuti,Dai,Karitiana,Karitiana,4.339
Mbuti,Dai,Karitiana,ANE,4.313
Mbuti,Dai,Karitiana,Dai,4.641
Mbuti,Dai,Karitiana,Onge,4.389
Mbuti,Dai,ANE,ANE,3.697
Mbuti,Dai,ANE,Dai,4.322
Mbuti,Dai,ANE,Onge,4.045
Mbuti,Dai,Dai,Dai,4.863
Mbuti,Dai,Dai,Onge,4.670
Mbuti,Dai,Onge,Onge,4.433
Mbuti,Onge,Mbuti,Onge,5.219
Mbuti,Onge,Karitiana,Karitiana,4.408
Mbuti,Onge,Karitiana,ANE,4.249
Mbuti,Onge,Karitiana,Dai,4.406
Mbuti,Onge,Karitiana,Onge,4.965
Mbuti,Onge,ANE,ANE,3.696
Mbuti,Onge,ANE,Dai,4.108
Mbuti,Onge,ANE,Onge,4.639
Mbuti,Onge,Dai,Dai,4.442
Mbuti,Onge,Dai,Onge,5.002
Mbuti,Onge,Onge,Onge,5.548
Karitiana,Karitiana,Karitiana,Karitiana,11.666
Karitiana,Karitiana,Karitiana,ANE,9.044
Karitiana,Karitiana,Karitiana,Dai,9.072
Karitiana,Karitiana,Karitiana,Onge,8.884
Karitiana,Karitiana,ANE,ANE,6.178
Karitiana,Karitiana,ANE,Dai,7.049
Karitiana,Karitiana,ANE,Onge,6.889
Karitiana,Karitiana,Dai,Dai,7.260
Karitiana,Karitiana,Dai,Onge,7.133
Karitiana,Karitiana,Onge,Onge,6.669
Karitiana,ANE,Karitiana,ANE,12.286
Karitiana,ANE,Karitiana,Dai,8.272
Karitiana,ANE,Karitiana,Onge,8.255
Karitiana,ANE,ANE,ANE,11.070
Karitiana,ANE,ANE,Dai,9.701
Karitiana,ANE,ANE,Onge,9.290
Karitiana,ANE,Dai,Dai,7.133
Karitiana,ANE,Dai,Onge,7.018
Karitiana,ANE,Onge,Onge,6.625
Karitiana,Dai,Karitiana,Dai,9.288
Karitiana,Dai,Karitiana,Onge,8.430
Karitiana,Dai,ANE,ANE,6.148
Karitiana,Dai,ANE,Dai,7.537
Karitiana,Dai,ANE,Onge,6.850
Karitiana,Dai,Dai,Dai,8.339
Karitiana,Dai,Dai,Onge,7.761
Karitiana,Dai,Onge,Onge,6.920
Karitiana,Onge,Karitiana,Onge,9.572
Karitiana,Onge,ANE,ANE,6.423
Karitiana,Onge,ANE,Dai,7.178
Karitiana,Onge,ANE,Onge,7.872
Karitiana,Onge,Dai,Dai,7.456
Karitiana,Onge,Dai,Onge,8.268
Karitiana,Onge,Onge,Onge,8.480
ANE,ANE,ANE,ANE,16.998
ANE,ANE,ANE,Dai,9.743
ANE,ANE,ANE,Onge,9.861
ANE,ANE,Dai,Dai,5.733
ANE,ANE,Dai,Onge,5.771
ANE,ANE,Onge,Onge,5.648
ANE,Dai,ANE,Dai,9.665
ANE,Dai,ANE,Onge,8.893
ANE,Dai,Dai,Dai,7.382
ANE,Dai,Dai,Onge,7.054
ANE,Dai,Onge,Onge,6.466
ANE,Onge,ANE,Onge,10.340
ANE,Onge,Dai,Dai,6.545
ANE,Onge,Dai,Onge,7.401
ANE,Onge,Onge,Onge,7.883
Dai,Dai,Dai,Dai,9.111
Dai,Dai,Dai,Onge,8.105
Dai,Dai,Onge,Onge,7.014
Dai,Onge,Dai,Onge,8.750
Dai,Onge,Onge,Onge,8.621
Onge,Onge,Onge,Onge,10.458
